customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,1,No,Yes,29,Yes,No,No,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),61.34,4458.66,No
CUST00002,Female,1,No,Yes,68,Yes,Yes,No,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),52.02,6342.54,No
CUST00003,Male,1,No,No,17,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No internet service,No,One year,No,Bank transfer (automatic),30.65,4164.57,Yes
CUST00004,Male,1,Yes,Yes,5,Yes,No phone service,DSL,No,No,No,Yes,No,No internet service,One year,Yes,Mailed check,77.88,317.03,Yes
CUST00005,Male,1,Yes,Yes,50,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),56.12,2511.53,No
CUST00006,Female,1,Yes,Yes,40,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.4,320.48,Yes
CUST00007,Male,0,No,Yes,46,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,64.44,8269.68,No
CUST00008,Male,0,No,No,51,No,Yes,No,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,No,Credit card (automatic),79.03,358.41,No
CUST00009,Male,1,Yes,No,11,No,Yes,Fiber optic,No internet service,No,No,No,No,No,One year,No,Electronic check,33.04,541.35,Yes
CUST00010,Female,0,No,No,12,No,No phone service,DSL,No internet service,No internet service,No,No,Yes,No internet service,One year,No,Mailed check,78.5,2754.65,No
CUST00011,Male,0,Yes,No,13,No,No,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,50.2,5727.73,No
CUST00012,Male,1,Yes,No,64,No,No,DSL,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,45.96,3285.82,No
CUST00013,Male,0,Yes,No,8,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),99.55,647.94,Yes
CUST00014,Male,1,Yes,No,65,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,66.77,7542.64,No
CUST00015,Female,1,No,Yes,9,Yes,Yes,DSL,No internet service,Yes,No,No,No,No internet service,One year,No,Bank transfer (automatic),57.79,6331.96,No
CUST00016,Male,1,Yes,No,2,No,Yes,DSL,Yes,No internet service,No,No internet service,No,No,One year,Yes,Credit card (automatic),101.3,3627.71,Yes
CUST00017,Female,1,Yes,No,13,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),111.03,6124.47,No
CUST00018,Female,1,Yes,No,2,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,51.51,2543.82,Yes
CUST00019,Female,0,Yes,No,68,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,25.04,4798.02,No
CUST00020,Male,1,Yes,Yes,48,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Two year,No,Credit card (automatic),74.07,7936.52,Yes
CUST00021,Female,0,Yes,No,3,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,91.52,1058.36,Yes
CUST00022,Male,1,Yes,No,68,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,78.78,7637.35,No
CUST00023,Female,1,No,Yes,6,No,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),88.81,7118.08,No
CUST00024,Female,1,No,No,5,No,No phone service,DSL,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,84.67,8547.0,No
CUST00025,Female,0,No,No,3,Yes,No phone service,No,Yes,Yes,No internet service,No,No,No,Month-to-month,Yes,Mailed check,115.6,4672.61,No
CUST00026,Female,1,No,No,10,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),106.59,2546.71,No
CUST00027,Female,1,Yes,No,43,No,No,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,33.18,3242.58,No
CUST00028,Female,1,No,No,19,No,No phone service,No,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,65.26,5794.3,No
CUST00029,Female,1,No,No,14,No,No,No,Yes,No internet service,No,No,No,Yes,Month-to-month,No,Mailed check,65.48,1353.08,Yes
CUST00030,Female,0,No,No,21,No,No,DSL,Yes,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),65.63,3229.85,No
CUST00031,Male,1,Yes,Yes,43,Yes,No phone service,No,Yes,No internet service,Yes,No,No internet service,No,One year,Yes,Mailed check,113.07,6565.25,No
CUST00032,Male,0,No,Yes,28,No,Yes,No,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),52.72,5206.35,Yes
CUST00033,Female,1,No,No,21,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),81.43,658.5,No
